parent_sku,parent_desc,component_sku,component_desc,component_type,qty_per_unit,unit_cost_usd,supplier,warranty_months,mtbf_hours
LAT5420-I5-16-256,Dell Latitude 5420 (i5-1145G7/16GB/256GB),MB-LAT5420-REV3,Motherboard Rev3,Motherboard,1,142.5,Wistron,12,18000
LAT5420-I5-16-256,Dell Latitude 5420 (i5-1145G7/16GB/256GB),DISP-14-FHD-IPS-D1,14in FHD IPS Display Panel,Display,1,68.0,LG Display,12,45000
LAT5420-I5-16-256,Dell Latitude 5420 (i5-1145G7/16GB/256GB),BATT-4CELL-68WH-D1,4-Cell 68Wh Battery,Battery,1,31.2,LG Chem,12,25000
LAT5420-I5-16-256,Dell Latitude 5420 (i5-1145G7/16GB/256GB),SSD-256-NVME-D1,256GB NVMe SSD,Storage,1,29.8,Samsung,12,80000
LAT5420-I5-16-256,Dell Latitude 5420 (i5-1145G7/16GB/256GB),HNG-ASSY-D1,Display Hinge Assembly,Chassis/Hinge,2,6.4,Foxconn,12,30000
LAT5420-I5-16-256,Dell Latitude 5420 (i5-1145G7/16GB/256GB),KB-BL-US-D1,Backlit Keyboard - US Layout,Keyboard,1,18.9,Darfon,12,60000
ELITEBOOK840G7-I7-16-512,HP EliteBook 840 G7 (i7-10510U/16GB/512GB),MB-EB840G7-REV2,Motherboard Rev2,Motherboard,1,168.75,Compal,12,22000
ELITEBOOK840G7-I7-16-512,HP EliteBook 840 G7 (i7-10510U/16GB/512GB),DISP-14-FHD-IPS-H1,14in FHD IPS Display Panel,Display,1,74.5,BOE,12,48000
ELITEBOOK840G7-I7-16-512,HP EliteBook 840 G7 (i7-10510U/16GB/512GB),BATT-3CELL-53WH-H1,3-Cell 53Wh Battery,Battery,1,27.6,Samsung SDI,12,24000
ELITEBOOK840G7-I7-16-512,HP EliteBook 840 G7 (i7-10510U/16GB/512GB),SSD-512-NVME-H1,512GB NVMe SSD,Storage,1,48.3,SK Hynix,12,82000
ELITEBOOK840G7-I7-16-512,HP EliteBook 840 G7 (i7-10510U/16GB/512GB),HNG-ASSY-H1,Display Hinge Assembly,Chassis/Hinge,2,7.1,Foxconn,12,32000
ELITEBOOK840G7-I7-16-512,HP EliteBook 840 G7 (i7-10510U/16GB/512GB),KB-BL-US-H1,Backlit Keyboard - US Layout,Keyboard,1,19.5,Darfon,12,58000
TPADT14-R7-16-512,Lenovo ThinkPad T14 Gen 1 (Ryzen 7 PRO/16GB/512GB),MB-T14G1-REV1,Motherboard Rev1,Motherboard,1,155.2,Quanta,12,20000
TPADT14-R7-16-512,Lenovo ThinkPad T14 Gen 1 (Ryzen 7 PRO/16GB/512GB),DISP-14-FHD-IPS-L1,14in FHD IPS Display Panel,Display,1,71.25,AUO,12,46000
TPADT14-R7-16-512,Lenovo ThinkPad T14 Gen 1 (Ryzen 7 PRO/16GB/512GB),BATT-3CELL-50WH-L1,3-Cell 50Wh Battery,Battery,1,26.8,LG Chem,12,23500
TPADT14-R7-16-512,Lenovo ThinkPad T14 Gen 1 (Ryzen 7 PRO/16GB/512GB),SSD-512-NVME-L1,512GB NVMe SSD,Storage,1,47.9,Samsung,12,81000
TPADT14-R7-16-512,Lenovo ThinkPad T14 Gen 1 (Ryzen 7 PRO/16GB/512GB),HNG-ASSY-L1,Display Hinge Assembly,Chassis/Hinge,2,6.75,Compal,12,31000
TPADT14-R7-16-512,Lenovo ThinkPad T14 Gen 1 (Ryzen 7 PRO/16GB/512GB),KB-BL-US-L1,Backlit Keyboard - US Layout,Keyboard,1,19.1,Chicony,12,59000
ACERCHROMEBOOK-CEL-4.0-UNK,Acer Chromebook 311 (CEL-4.0-UNK),MB-ACERCHROMEBOOK-G1,Motherboard Rev1,Motherboard,1,159.28,Wistron,12,21037
ACERCHROMEBOOK-CEL-4.0-UNK,Acer Chromebook 311 (CEL-4.0-UNK),DISP-ACERCHROMEBOOK-G1,14in FHD IPS Display Panel,Display,1,69.79,Samsung,12,45571
ACERCHROMEBOOK-CEL-4.0-UNK,Acer Chromebook 311 (CEL-4.0-UNK),BATT-ACERCHROMEBOOK-G1,3-Cell Battery,Battery,1,30.04,Quanta,12,24616
ACERCHROMEBOOK-CEL-4.0-UNK,Acer Chromebook 311 (CEL-4.0-UNK),SSD-ACERCHROMEBOOK-G1,SSD/eMMC Storage,Storage,1,31.41,Compal,12,80065
ACERCHROMEBOOK-CEL-4.0-UNK,Acer Chromebook 311 (CEL-4.0-UNK),HNG-ACERCHROMEBOOK-G1,Display Hinge Assembly,Chassis/Hinge,2,6.42,Samsung,12,30476
ACERCHROMEBOOK-CEL-4.0-UNK,Acer Chromebook 311 (CEL-4.0-UNK),KB-ACERCHROMEBOOK-G1,Backlit Keyboard - US Layout,Keyboard,1,19.2,Wistron,12,59149
ACERCHROMEBOOK2-CEL-2.0-16.0,Acer Chromebook C720-2848 (CEL-2.0-16.0),MB-ACERCHROMEBOOK2-G1,Motherboard Rev1,Motherboard,1,147.72,Quanta,12,20872
ACERCHROMEBOOK2-CEL-2.0-16.0,Acer Chromebook C720-2848 (CEL-2.0-16.0),DISP-ACERCHROMEBOOK2-G1,14in FHD IPS Display Panel,Display,1,71.54,Samsung,12,46839
ACERCHROMEBOOK2-CEL-2.0-16.0,Acer Chromebook C720-2848 (CEL-2.0-16.0),BATT-ACERCHROMEBOOK2-G1,3-Cell Battery,Battery,1,29.39,Chicony,12,23513
ACERCHROMEBOOK2-CEL-2.0-16.0,Acer Chromebook C720-2848 (CEL-2.0-16.0),SSD-ACERCHROMEBOOK2-G1,SSD/eMMC Storage,Storage,1,43.84,LG Chem,12,81429
ACERCHROMEBOOK2-CEL-2.0-16.0,Acer Chromebook C720-2848 (CEL-2.0-16.0),HNG-ACERCHROMEBOOK2-G1,Display Hinge Assembly,Chassis/Hinge,2,6.7,Foxconn,12,30318
ACERCHROMEBOOK2-CEL-2.0-16.0,Acer Chromebook C720-2848 (CEL-2.0-16.0),KB-ACERCHROMEBOOK2-G1,Backlit Keyboard - US Layout,Keyboard,1,19.03,Chicony,12,58689
ACERCHROMEBOOK3-CEL-4.0-16.0,Acer Chromebook C731 (CEL-4.0-16.0),MB-ACERCHROMEBOOK3-G1,Motherboard Rev1,Motherboard,1,145.18,Compal,12,18396
ACERCHROMEBOOK3-CEL-4.0-16.0,Acer Chromebook C731 (CEL-4.0-16.0),DISP-ACERCHROMEBOOK3-G1,14in FHD IPS Display Panel,Display,1,70.33,Darfon,12,47472
ACERCHROMEBOOK3-CEL-4.0-16.0,Acer Chromebook C731 (CEL-4.0-16.0),BATT-ACERCHROMEBOOK3-G1,3-Cell Battery,Battery,1,27.96,Wistron,12,24994
