listing_id,listing_url,title_clean,seller_notes,condition,damage_flag,price,shipping_price,bids,watchers,location,brand_clean,model_clean,processor_final,ram_gb,ssd_gb,screen_size_in,product_signature,scraped_at
v1|203847561029|0,https://www.ebay.com/itm/203847561029,dell latitude 5420 14in laptop i5-1145g7 16gb 256gb ssd - cracked screen,"Motherboard boots fine, display has visible crack, otherwise good condition. Battery holds charge.",For parts or not working,likely_damaged,189.99,15.5,3,12,"Austin, TX",dell,latitude 5420,Intel Core i5-1145G7,16,256,14 in,dell latitude 5420 16gb 256gb,2026-08-20T11:13:45.300577+00:00
v1|198822739104|0,https://www.ebay.com/itm/198822739104,dell latitude 5420 - excellent - battery new - fast shipping,null,Used,unknown,312,0,0,4,"Reno, NV",dell,latitude 5420,null,16,256,null,dell latitude 5420 16gb 256gb,2026-08-20T11:13:45.300577+00:00
v1|204471190833|0,https://www.ebay.com/itm/204471190833,hp elitebook 840 g7 core i7 16gb ram 512gb ssd backlit keyboard,"Light scratches on lid, screen is perfect. Includes original charger.",Used,unknown,278.5,12,7,21,"Columbus, OH",hp,elitebook 840 g7,Intel Core i7-10510U,16,512,null,hp elitebook 840 g7 16gb 512gb,2026-08-20T11:13:45.302589+00:00
v1|201938847215|0,https://www.ebay.com/itm/201938847215,hp elitebook 840g7 spares or repair no charger no boot,"Selling as is, does not power on, sold for parts only, no returns",For parts or not working,likely_damaged,65,18.75,1,2,"Leeds, United Kingdom",hp,elitebook 840 g7,null,null,null,null,hp elitebook 840 g7,2026-08-20T11:13:45.302589+00:00
v1|206612348890|0,https://www.ebay.com/itm/206612348890,lenovo thinkpad t14 gen 1 amd ryzen 7 16gb 512gb nvme win11 pro,"Tested working, minor wear on palm rest, battery holds ~85% capacity",Used,unknown,341.25,0,0,9,"Denver, CO",lenovo,thinkpad t14 gen 1,AMD Ryzen 7 PRO 4750U,16,512,14 in,lenovo thinkpad t14 gen 1 16gb 512gb,2026-08-20T11:13:45.304598+00:00
v1|207743102256|0,https://www.ebay.com/itm/207743102256,lenovo thinkpad t14 great condition fast laptop office student,null,Used,unknown,299.99,9.99,2,6,"Newark, NJ",lenovo,null,null,16,null,null,lenovo 16gb,2026-08-20T11:13:45.305105+00:00
v1|209981223470|0,https://www.ebay.com/itm/209981223470,dell latitude 5420 laptop - as is - hinge broken screen flickers,"Sold as-is for parts or repair, motherboard untested, hinge cracked, screen flickers intermittently",For parts or not working,likely_damaged,54.99,14.2,4,15,"Phoenix, AZ",dell,latitude 5420,Intel Core i5-1145G7,null,256,null,dell latitude 5420 256gb,2026-08-20T11:13:45.306111+00:00
v1|210456781902|0,https://www.ebay.com/itm/210456781902,hp elitebook 840 g7 i7 16/512 business laptop refurbished grade a,"Professionally refurbished, new battery installed, 90-day warranty included",Certified - Refurbished,unknown,399,0,0,18,"Miami, FL",hp,elitebook 840 g7,Intel Core i7-10510U,16,512,14 in,hp elitebook 840 g7 16gb 512gb,2026-08-20T11:13:45.308101+00:00
v1|211029384756|0,https://www.ebay.com/itm/211029384756,lenovo t14 ryzen laptop good battery life screen has dead pixels,"Works great, small cluster of dead pixels top-left corner, barely noticeable",Used,likely_damaged,215,11.4,1,3,"Toronto, ON, Canada",lenovo,thinkpad t14 gen 1,AMD Ryzen 7 PRO 4750U,16,null,null,lenovo thinkpad t14 gen 1 16gb,2026-08-20T11:13:45.310108+00:00
v1|212398761045|0,https://www.ebay.com/itm/212398761045,dell latitude 5420 bundle lot of 2 - both power on - read description,"Lot of 2 units, both power on and boot to BIOS, no OS installed, sold together only",Used,unknown,240,22,0,7,"Sacramento, CA",dell,latitude 5420,null,null,null,null,dell latitude 5420,2026-08-20T11:13:45.311196+00:00
