bids,brand,condition,listing_id,listing_url,location,model,price,processor,ram_gb,scraped_at,screen_size_in,seller_notes,shipping_price,ssd_gb,title,watchers
3,Dell,For parts or not working,v1|203847561029|0,https://www.ebay.com/itm/203847561029,"Austin, TX",Latitude 5420,189.99,Intel Core i5-1145G7,16,2026-08-20T11:13:45.300577+00:00,14 in,"Motherboard boots fine, display has visible crack, otherwise good condition. Battery holds charge.",15.5,256,Dell Latitude 5420 14in Laptop i5-1145G7 16GB 256GB SSD - CRACKED SCREEN,12
0,Dell,Used,v1|198822739104|0,https://www.ebay.com/itm/198822739104,"Reno, NV",Latitude 5420,312,null,16,2026-08-20T11:13:45.300577+00:00,null,null,0,256,Dell Latitude 5420 - Excellent - Battery New - Fast Shipping,4
7,HP,Used,v1|204471190833|0,https://www.ebay.com/itm/204471190833,"Columbus, OH",EliteBook 840 G7,278.5,Intel Core i7-10510U,16,2026-08-20T11:13:45.302589+00:00,null,"Light scratches on lid, screen is perfect. Includes original charger.",12,512,HP EliteBook 840 G7 Core i7 16GB RAM 512GB SSD Backlit Keyboard,21
1,HP,For parts or not working,v1|201938847215|0,https://www.ebay.com/itm/201938847215,"Leeds, United Kingdom",EliteBook 840 G7,65,null,null,2026-08-20T11:13:45.302589+00:00,null,"Selling as is, does not power on, sold for parts only, no returns",18.75,null,hp elitebook 840g7 SPARES OR REPAIR no charger no boot,2
0,Lenovo,Used,v1|206612348890|0,https://www.ebay.com/itm/206612348890,"Denver, CO",ThinkPad T14 Gen 1,341.25,AMD Ryzen 7 PRO 4750U,16,2026-08-20T11:13:45.304598+00:00,14 in,"Tested working, minor wear on palm rest, battery holds ~85% capacity",0,512,Lenovo ThinkPad T14 Gen 1 AMD Ryzen 7 16GB 512GB NVMe Win11 Pro,9
2,Lenovo,Used,v1|207743102256|0,https://www.ebay.com/itm/207743102256,"Newark, NJ",null,299.99,null,16,2026-08-20T11:13:45.305105+00:00,null,null,9.99,null,Lenovo Thinkpad T14 GREAT CONDITION fast laptop office student,6
4,Dell,For parts or not working,v1|209981223470|0,https://www.ebay.com/itm/209981223470,"Phoenix, AZ",Latitude 5420,54.99,Intel Core i5-1145G7,null,2026-08-20T11:13:45.306111+00:00,null,"Sold as-is for parts or repair, motherboard untested, hinge cracked, screen flickers intermittently",14.2,256,Dell Latitude 5420 Laptop - AS IS - hinge broken screen flickers,15
0,HP,Certified - Refurbished,v1|210456781902|0,https://www.ebay.com/itm/210456781902,"Miami, FL",EliteBook 840 G7,399,Intel Core i7-10510U,16,2026-08-20T11:13:45.308101+00:00,14 in,"Professionally refurbished, new battery installed, 90-day warranty included",0,512,HP EliteBook 840 G7 i7 16/512 Business Laptop Refurbished Grade A,18
1,Lenovo,Used,v1|211029384756|0,https://www.ebay.com/itm/211029384756,"Toronto, ON, Canada",ThinkPad T14 Gen 1,215,AMD Ryzen 7 PRO 4750U,16,2026-08-20T11:13:45.310108+00:00,null,"Works great, small cluster of dead pixels top-left corner, barely noticeable",11.4,null,lenovo t14 ryzen laptop good battery life screen has dead pixels,3
0,Dell,Used,v1|212398761045|0,https://www.ebay.com/itm/212398761045,"Sacramento, CA",Latitude 5420,240,null,null,2026-08-20T11:13:45.311196+00:00,null,"Lot of 2 units, both power on and boot to BIOS, no OS installed, sold together only",22,null,Dell Latitude 5420 Bundle Lot of 2 - Both Power On - Read Description,7
