claim_id,parent_sku,component_sku,component_type,failure_date,failure_reason,within_warranty
WC-88046,TPADT14-R7-16-512,SSD-512-NVME-L1,Storage,2026-01-01,SMART errors / failing drive,False
WC-88009,LAT5420-I5-16-256,BATT-4CELL-68WH-D1,Battery,2026-01-02,Swelling,True
WC-88042,TPADT14-R7-16-512,BATT-3CELL-50WH-L1,Battery,2026-01-03,Battery not detected,True
WC-88005,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-01-09,No power / dead board,True
WC-88029,ELITEBOOK840G7-I7-16-512,SSD-512-NVME-H1,Storage,2026-01-09,SMART errors / failing drive,True
WC-88014,LAT5420-I5-16-256,HNG-ASSY-D1,Chassis/Hinge,2026-01-12,Hinge assembly snapped,True
WC-88038,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-01-13,No power / dead board,True
WC-88030,ELITEBOOK840G7-I7-16-512,HNG-ASSY-H1,Chassis/Hinge,2026-01-17,Hinge cracked,False
WC-88018,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-01-18,No power / dead board,True
WC-88048,TPADT14-R7-16-512,HNG-ASSY-L1,Chassis/Hinge,2026-01-28,Hinge assembly snapped,True
WC-88015,LAT5420-I5-16-256,HNG-ASSY-D1,Chassis/Hinge,2026-02-01,Loose hinge / screen wobble,True
WC-88037,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-02-05,Charging circuit failure,True
WC-88034,ELITEBOOK840G7-I7-16-512,KB-BL-US-H1,Keyboard,2026-02-05,Keys unresponsive,True
WC-88050,TPADT14-R7-16-512,KB-BL-US-L1,Keyboard,2026-02-09,Backlight failure,True
WC-88039,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-02-10,Charging circuit failure,True
WC-88024,ELITEBOOK840G7-I7-16-512,DISP-14-FHD-IPS-H1,Display,2026-02-13,Dead pixels,True
WC-88006,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-03-01,No power / dead board,True
WC-88020,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-03-01,No power / dead board,True
WC-88002,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-03-12,Random shutdowns,True
WC-88045,TPADT14-R7-16-512,BATT-3CELL-50WH-L1,Battery,2026-03-17,Won't hold charge,True
WC-88016,LAT5420-I5-16-256,KB-BL-US-D1,Keyboard,2026-03-17,Sticky keys after spill,True
WC-88010,LAT5420-I5-16-256,BATT-4CELL-68WH-D1,Battery,2026-03-29,Won't hold charge,True
WC-88013,LAT5420-I5-16-256,HNG-ASSY-D1,Chassis/Hinge,2026-03-30,Hinge assembly snapped,True
WC-88022,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-04-01,Random shutdowns,True
WC-88017,LAT5420-I5-16-256,KB-BL-US-D1,Keyboard,2026-04-03,Sticky keys after spill,True
WC-88012,LAT5420-I5-16-256,SSD-256-NVME-D1,Storage,2026-04-08,Drive not detected,True
WC-88025,ELITEBOOK840G7-I7-16-512,BATT-3CELL-53WH-H1,Battery,2026-04-08,Won't hold charge,False
WC-88040,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-04-09,Charging circuit failure,True
WC-88036,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-04-20,Charging circuit failure,True
WC-88021,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-04-27,Board fails POST,True
WC-88041,TPADT14-R7-16-512,DISP-14-FHD-IPS-L1,Display,2026-04-30,Backlight bleed,False
WC-88035,TPADT14-R7-16-512,MB-T14G1-REV1,Motherboard,2026-05-18,Board fails POST,True
WC-88051,TPADT14-R7-16-512,KB-BL-US-L1,Keyboard,2026-05-19,Sticky keys after spill,False
WC-88004,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-05-20,No power / dead board,True
WC-88031,ELITEBOOK840G7-I7-16-512,HNG-ASSY-H1,Chassis/Hinge,2026-05-26,Hinge assembly snapped,True
WC-88008,LAT5420-I5-16-256,BATT-4CELL-68WH-D1,Battery,2026-05-31,Won't hold charge,True
WC-88049,TPADT14-R7-16-512,HNG-ASSY-L1,Chassis/Hinge,2026-06-13,Hinge assembly snapped,True
WC-88001,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-06-13,No power / dead board,True
WC-88026,ELITEBOOK840G7-I7-16-512,BATT-3CELL-53WH-H1,Battery,2026-06-13,Battery not detected,True
WC-88033,ELITEBOOK840G7-I7-16-512,KB-BL-US-H1,Keyboard,2026-06-14,Backlight failure,True
WC-88032,ELITEBOOK840G7-I7-16-512,HNG-ASSY-H1,Chassis/Hinge,2026-06-17,Loose hinge / screen wobble,True
WC-88043,TPADT14-R7-16-512,BATT-3CELL-50WH-L1,Battery,2026-06-24,Battery not detected,True
WC-88027,ELITEBOOK840G7-I7-16-512,BATT-3CELL-53WH-H1,Battery,2026-06-25,Won't hold charge,True
WC-88023,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-06-29,No power / dead board,True
WC-88007,LAT5420-I5-16-256,DISP-14-FHD-IPS-D1,Display,2026-07-03,Backlight bleed,True
WC-88003,LAT5420-I5-16-256,MB-LAT5420-REV3,Motherboard,2026-07-08,No power / dead board,True
WC-88011,LAT5420-I5-16-256,BATT-4CELL-68WH-D1,Battery,2026-07-15,Won't hold charge,True
WC-88047,TPADT14-R7-16-512,HNG-ASSY-L1,Chassis/Hinge,2026-07-15,Hinge cracked,True
WC-88044,TPADT14-R7-16-512,BATT-3CELL-50WH-L1,Battery,2026-07-16,Battery not detected,True
WC-88019,ELITEBOOK840G7-I7-16-512,MB-EB840G7-REV2,Motherboard,2026-07-17,Board fails POST,False
WC-88028,ELITEBOOK840G7-I7-16-512,BATT-3CELL-53WH-H1,Battery,2026-07-18,Swelling,True
WC-88052,ACERCHROMEBOOK-CEL-4.0-UNK,KB-ACERCHROMEBOOK-G1,Keyboard,2026-07-22,Keys unresponsive,True
WC-88053,ACERCHROMEBOOK-CEL-4.0-UNK,DISP-ACERCHROMEBOOK-G1,Display,2026-04-14,Dead pixels,True
WC-88054,ACERCHROMEBOOK-CEL-4.0-UNK,BATT-ACERCHROMEBOOK-G1,Battery,2026-04-05,Battery not detected,True
WC-88055,ACERCHROMEBOOK-CEL-4.0-UNK,DISP-ACERCHROMEBOOK-G1,Display,2026-04-19,Backlight bleed,True
WC-88056,ACERCHROMEBOOK-CEL-4.0-UNK,MB-ACERCHROMEBOOK-G1,Motherboard,2026-03-11,Random shutdowns,True
WC-88057,ACERCHROMEBOOK-CEL-4.0-UNK,HNG-ACERCHROMEBOOK-G1,Chassis/Hinge,2026-07-04,Hinge assembly snapped,True
WC-88058,ACERCHROMEBOOK-CEL-4.0-UNK,KB-ACERCHROMEBOOK-G1,Keyboard,2026-07-15,Sticky keys after spill,True
WC-88059,ACERCHROMEBOOK-CEL-4.0-UNK,SSD-ACERCHROMEBOOK-G1,Storage,2026-07-09,Drive not detected,True
WC-88060,ACERCHROMEBOOK-CEL-4.0-UNK,SSD-ACERCHROMEBOOK-G1,Storage,2026-07-14,Drive not detected,False
WC-88061,ACERCHROMEBOOK-CEL-4.0-UNK,DISP-ACERCHROMEBOOK-G1,Display,2026-03-17,Dead pixels,True
WC-88062,ACERCHROMEBOOK2-CEL-2.0-16.0,MB-ACERCHROMEBOOK2-G1,Motherboard,2026-01-04,Charging circuit failure,True
WC-88063,ACERCHROMEBOOK2-CEL-2.0-16.0,DISP-ACERCHROMEBOOK2-G1,Display,2026-05-22,Backlight bleed,True
WC-88064,ACERCHROMEBOOK2-CEL-2.0-16.0,BATT-ACERCHROMEBOOK2-G1,Battery,2026-06-13,Battery not detected,True
WC-88065,ACERCHROMEBOOK2-CEL-2.0-16.0,HNG-ACERCHROMEBOOK2-G1,Chassis/Hinge,2026-05-27,Hinge cracked,True
WC-88066,ACERCHROMEBOOK2-CEL-2.0-16.0,HNG-ACERCHROMEBOOK2-G1,Chassis/Hinge,2026-03-29,Hinge assembly snapped,False
WC-88067,ACERCHROMEBOOK2-CEL-2.0-16.0,BATT-ACERCHROMEBOOK2-G1,Battery,2026-05-03,Swelling,True
WC-88068,ACERCHROMEBOOK2-CEL-2.0-16.0,HNG-ACERCHROMEBOOK2-G1,Chassis/Hinge,2026-05-06,Hinge assembly snapped,True
WC-88069,ACERCHROMEBOOK2-CEL-2.0-16.0,BATT-ACERCHROMEBOOK2-G1,Battery,2026-02-08,Swelling,True
WC-88070,ACERCHROMEBOOK2-CEL-2.0-16.0,MB-ACERCHROMEBOOK2-G1,Motherboard,2026-01-22,Charging circuit failure,True
WC-88071,ACERCHROMEBOOK2-CEL-2.0-16.0,SSD-ACERCHROMEBOOK2-G1,Storage,2026-06-05,SMART errors / failing drive,True
WC-88072,ACERCHROMEBOOK3-CEL-4.0-16.0,MB-ACERCHROMEBOOK3-G1,Motherboard,2026-04-26,Board fails POST,True
WC-88073,ACERCHROMEBOOK3-CEL-4.0-16.0,DISP-ACERCHROMEBOOK3-G1,Display,2026-04-20,Backlight bleed,True
WC-88074,ACERCHROMEBOOK3-CEL-4.0-16.0,MB-ACERCHROMEBOOK3-G1,Motherboard,2026-06-06,No power / dead board,False
WC-88075,ACERCHROMEBOOK3-CEL-4.0-16.0,DISP-ACERCHROMEBOOK3-G1,Display,2026-06-10,Dead pixels,True
WC-88076,ACERCHROMEBOOK3-CEL-4.0-16.0,MB-ACERCHROMEBOOK3-G1,Motherboard,2026-02-10,Charging circuit failure,True
WC-88077,ACERCHROMEBOOK3-CEL-4.0-16.0,HNG-ACERCHROMEBOOK3-G1,Chassis/Hinge,2026-02-10,Hinge assembly snapped,True
WC-88078,ACERCHROMEBOOK3-CEL-4.0-16.0,SSD-ACERCHROMEBOOK3-G1,Storage,2026-05-01,Drive not detected,True
WC-88079,ACERCHROMEBOOK3-CEL-4.0-16.0,HNG-ACERCHROMEBOOK3-G1,Chassis/Hinge,2026-06-30,Hinge cracked,True
WC-88080,ACERCHROMEBOOK3-CEL-4.0-16.0,MB-ACERCHROMEBOOK3-G1,Motherboard,2026-01-19,Charging circuit failure,False
WC-88081,ACERCHROMEBOOK3-CEL-4.0-16.0,BATT-ACERCHROMEBOOK3-G1,Battery,2026-06-19,Swelling,True
WC-88082,ACERCHROMEBOOK4-CEL-4.0-UNK,BATT-ACERCHROMEBOOK4-G1,Battery,2026-02-27,Won't hold charge,True
WC-88083,ACERCHROMEBOOK4-CEL-4.0-UNK,KB-ACERCHROMEBOOK4-G1,Keyboard,2026-07-31,Keys unresponsive,True
WC-88084,ACERCHROMEBOOK4-CEL-4.0-UNK,SSD-ACERCHROMEBOOK4-G1,Storage,2026-07-22,Drive not detected,True
WC-88085,ACERCHROMEBOOK4-CEL-4.0-UNK,SSD-ACERCHROMEBOOK4-G1,Storage,2026-03-15,Drive not detected,True
WC-88086,ACERCHROMEBOOK4-CEL-4.0-UNK,DISP-ACERCHROMEBOOK4-G1,Display,2026-06-29,Backlight bleed,False
WC-88087,ACERCHROMEBOOK4-CEL-4.0-UNK,SSD-ACERCHROMEBOOK4-G1,Storage,2026-05-19,Drive not detected,True
WC-88088,ACERCHROMEBOOK4-CEL-4.0-UNK,KB-ACERCHROMEBOOK4-G1,Keyboard,2026-01-11,Backlight failure,True
WC-88089,ACERCHROMEBOOK4-CEL-4.0-UNK,DISP-ACERCHROMEBOOK4-G1,Display,2026-03-06,Dead pixels,True
WC-88090,ACERCHROMEBOOK4-CEL-4.0-UNK,KB-ACERCHROMEBOOK4-G1,Keyboard,2026-05-31,Keys unresponsive,False
WC-88091,ACERCHROMEBOOK4-CEL-4.0-UNK,DISP-ACERCHROMEBOOK4-G1,Display,2026-05-28,Dead pixels,True
WC-88092,CHUWICOREBOOKX-I5-8.0-512.0,BATT-CHUWICOREBOOKX-G1,Battery,2026-05-01,Won't hold charge,True
WC-88093,CHUWICOREBOOKX-I5-8.0-512.0,BATT-CHUWICOREBOOKX-G1,Battery,2026-02-16,Won't hold charge,True
WC-88094,CHUWICOREBOOKX-I5-8.0-512.0,HNG-CHUWICOREBOOKX-G1,Chassis/Hinge,2026-01-24,Hinge cracked,True
WC-88095,CHUWICOREBOOKX-I5-8.0-512.0,KB-CHUWICOREBOOKX-G1,Keyboard,2026-03-24,Sticky keys after spill,True
WC-88096,CHUWICOREBOOKX-I5-8.0-512.0,MB-CHUWICOREBOOKX-G1,Motherboard,2026-03-26,Board fails POST,True
WC-88097,CHUWICOREBOOKX-I5-8.0-512.0,DISP-CHUWICOREBOOKX-G1,Display,2026-06-19,Backlight bleed,True
WC-88098,CHUWICOREBOOKX-I5-8.0-512.0,SSD-CHUWICOREBOOKX-G1,Storage,2026-01-10,Drive not detected,True
WC-88099,CHUWICOREBOOKX-I5-8.0-512.0,BATT-CHUWICOREBOOKX-G1,Battery,2026-03-24,Swelling,False
WC-88100,CHUWICOREBOOKX-I5-8.0-512.0,MB-CHUWICOREBOOKX-G1,Motherboard,2026-05-12,No power / dead board,True
WC-88101,CHUWICOREBOOKX-I5-8.0-512.0,KB-CHUWICOREBOOKX-G1,Keyboard,2026-04-29,Backlight failure,True
WC-88102,CHUWIFREEBOOK-CEL-12.0-12.0,MB-CHUWIFREEBOOK-G1,Motherboard,2026-04-03,Board fails POST,True
WC-88103,CHUWIFREEBOOK-CEL-12.0-12.0,MB-CHUWIFREEBOOK-G1,Motherboard,2026-02-22,Random shutdowns,True
WC-88104,CHUWIFREEBOOK-CEL-12.0-12.0,SSD-CHUWIFREEBOOK-G1,Storage,2026-04-23,Drive not detected,True
WC-88105,CHUWIFREEBOOK-CEL-12.0-12.0,DISP-CHUWIFREEBOOK-G1,Display,2026-07-24,Dead pixels,True
WC-88106,CHUWIFREEBOOK-CEL-12.0-12.0,BATT-CHUWIFREEBOOK-G1,Battery,2026-05-22,Swelling,True
WC-88107,CHUWIFREEBOOK-CEL-12.0-12.0,HNG-CHUWIFREEBOOK-G1,Chassis/Hinge,2026-02-27,Hinge assembly snapped,True
WC-88108,CHUWIFREEBOOK-CEL-12.0-12.0,DISP-CHUWIFREEBOOK-G1,Display,2026-06-15,Dead pixels,True
WC-88109,CHUWIFREEBOOK-CEL-12.0-12.0,DISP-CHUWIFREEBOOK-G1,Display,2026-05-11,Backlight bleed,True
WC-88110,CHUWIFREEBOOK-CEL-12.0-12.0,MB-CHUWIFREEBOOK-G1,Motherboard,2026-05-01,Charging circuit failure,True
WC-88111,CHUWIFREEBOOK-CEL-12.0-12.0,MB-CHUWIFREEBOOK-G1,Motherboard,2026-04-09,Charging circuit failure,False
WC-88112,CHUWIGEMIBOOKP-QC-16.0-512.0,SSD-CHUWIGEMIBOOKP-G1,Storage,2026-07-11,SMART errors / failing drive,True
WC-88113,CHUWIGEMIBOOKP-QC-16.0-512.0,DISP-CHUWIGEMIBOOKP-G1,Display,2026-07-17,Backlight bleed,True
WC-88114,CHUWIGEMIBOOKP-QC-16.0-512.0,KB-CHUWIGEMIBOOKP-G1,Keyboard,2026-03-10,Keys unresponsive,True
WC-88115,CHUWIGEMIBOOKP-QC-16.0-512.0,KB-CHUWIGEMIBOOKP-G1,Keyboard,2026-05-31,Sticky keys after spill,False
WC-88116,CHUWIGEMIBOOKP-QC-16.0-512.0,BATT-CHUWIGEMIBOOKP-G1,Battery,2026-02-08,Battery not detected,True
WC-88117,CHUWIGEMIBOOKP-QC-16.0-512.0,HNG-CHUWIGEMIBOOKP-G1,Chassis/Hinge,2026-03-27,Loose hinge / screen wobble,True
WC-88118,CHUWIGEMIBOOKP-QC-16.0-512.0,DISP-CHUWIGEMIBOOKP-G1,Display,2026-04-27,Backlight bleed,True
WC-88119,CHUWIGEMIBOOKP-QC-16.0-512.0,HNG-CHUWIGEMIBOOKP-G1,Chassis/Hinge,2026-05-27,Hinge cracked,True
